"","X","tourney_name","surface","draw_size","tourney_level","tourney_date","P1_id","P1_name","P1_hand","P1_ht","P1_ioc","P1_age","P1_rank","P1_rank_points","P2_id","P2_name","P2_hand","P2_ht","P2_ioc","P2_age","P2_rank","P2_rank_points","best_of","p1vp2winpercentage","p1vp2LogRankDiff","p1vp2LogRankPointsDiff","p1wins","inst.","actual","predicted","error","prediction","AvgW","AvgL","winnings"
"1747",18462,"Wimbledon","Grass",128,"G","6/27/16",103917,"Nicolas Mahut","R",190,"FRA",34.4312115,51,919,103970,"David Ferrer","R",175,"ESP",34.23682409,14,2605,5,0,-1.292768303,-1.041901832,"Y",1747,"2:Y","1:N","+",0.893,2.22,1.65,0
"1748",18463,"Wimbledon","Grass",128,"G","6/27/16",104273,"Edouard Roger Vasselin","R",188,"FRA",32.58042437,186,290,105676,"David Goffin","R",163,"BEL",25.55509925,11,2780,5,0.5,-2.827851401,-2.260325284,"N",1748,"1:N","1:N","",0.961,1.1,6.81,1.1
"1749",18464,"Wimbledon","Grass",128,"G","6/27/16",104797,"Denis Istomin","R",188,"UZB",29.80424367,116,531,104597,"Nicolas Almagro","R",183,"ESP",30.85010267,47,944,5,1,-0.903442589,-0.575364145,"Y",1749,"2:Y","1:N","+",0.575,1.4,2.89,0
"1750",18465,"Wimbledon","Grass",128,"G","6/27/16",106058,"Jack Sock","R",185,"USA",23.75633128,26,1415,104898,"Robin Haase","R",190,"NED",29.22655715,98,615,5,1,1.326870941,0.833262542,"Y",1750,"2:Y","2:Y","",0.905,1.19,4.54,1.19
"1751",18466,"Wimbledon","Grass",128,"G","6/27/16",104312,"Andreas Seppi","R",190,"ITA",32.34770705,45,955,105683,"Milos Raonic","R",196,"CAN",25.50034223,7,3175,5,0,-1.860752341,-1.201351571,"N",1751,"1:N","1:N","",0.95,1.11,6.57,1.11
"1752",18467,"Wimbledon","Grass",128,"G","6/27/16",105650,"Marcus Willis","L",186,"GBR",25.71663244,772,26,103819,"Roger Federer","R",185,"SUI",34.88569473,3,6425,5,0.5,-5.550372261,-5.509855372,"N",1752,"1:N","1:N","",0.999,1.01,17.83,1.01
"1753",18468,"Wimbledon","Grass",128,"G","6/27/16",105554,"Daniel Evans","R",175,"GBR",26.0971937,91,648,105238,"Alexandr Dolgopolov","R",180,"UKR",27.63586585,33,1215,5,0.5,-1.014351945,-0.628608659,"Y",1753,"2:Y","1:N","+",0.746,3.11,1.36,0
"1754",18469,"Wimbledon","Grass",128,"G","6/27/16",104871,"Jeremy Chardy","R",188,"FRA",29.37166324,34,1175,105449,"Steve Johnson","R",188,"USA",26.50787132,29,1385,5,0.5,-0.159064695,-0.164431992,"N",1754,"1:N","1:N","",0.576,1.56,2.41,1.56
"1755",18470,"Wimbledon","Grass",128,"G","6/27/16",104468,"Gilles Simon","R",183,"FRA",31.49897331,20,1720,105777,"Grigor Dimitrov","R",188,"BUL",25.11704312,37,1150,5,0.833333333,0.615185639,0.402562348,"N",1755,"1:N","2:Y","+",0.701,1.95,1.83,0
"1756",18471,"Wimbledon","Grass",128,"G","6/27/16",104660,"Sergiy Stakhovsky","R",193,"UKR",30.47227926,94,635,105227,"Marin Cilic","R",198,"CRO",27.74537988,13,2695,5,0,-1.978345425,-1.445528484,"N",1756,"1:N","1:N","",0.955,1.2,4.51,1.2
"1757",18472,"Wimbledon","Grass",128,"G","6/27/16",103333,"Ivo Karlovic","R",208,"CRO",37.32785763,32,1270,105041,"Lukas Lacko","R",185,"SVK",28.64887064,123,501,5,1,1.346448453,0.930166078,"N",1757,"1:N","2:Y","+",0.794,4.39,1.2,0
"1758",18473,"Wimbledon","Grass",128,"G","6/27/16",104180,"Gilles Muller","L",193,"LUX",33.13620808,39,1090,105723,"Andrey Kuznetsov","R",185,"RUS",25.34428474,42,1013,5,0.5,0.074107972,0.073261471,"N",1758,"1:N","1:N","",0.58,2.31,1.6,2.31
"1759",18474,"Wimbledon","Grass",128,"G","6/27/16",103898,"Julien Benneteau","R",185,"FRA",34.51882272,547,59,105453,"Kei Nishikori","R",178,"JPN",26.49418207,6,4155,5,0.25,-4.512689333,-4.254530263,"N",1759,"1:N","1:N","",0.999,1.09,7.24,1.09
"1760",18475,"Wimbledon","Grass",128,"G","6/27/16",106210,"Jiri Vesely","L",186,"CZE",22.9650924,64,780,106233,"Dominic Thiem","R",186,"AUT",22.81451061,8,3175,5,0,-2.079441542,-1.403768992,"Y",1760,"2:Y","1:N","+",0.952,6.08,1.12,0
"1761",18476,"Wimbledon","Grass",128,"G","6/27/16",106261,"Dennis Novikov","R",186,"USA",22.63928816,145,390,105311,"Joao Sousa","R",186,"POR",27.24435318,31,1275,5,0.5,-1.542746538,-1.184554718,"N",1761,"1:N","1:N","",0.846,1.46,2.68,1.46
"1762",18477,"Wimbledon","Grass",128,"G","6/27/16",104022,"Mikhail Youzhny","R",183,"RUS",34.00684463,70,753,100644,"Alexander Zverev","R",186,"GER",19.18685832,28,1385,5,0,-0.916290732,-0.609390191,"N",1762,"1:N","1:N","",0.881,1.21,4.28,1.21
"1763",18478,"Wimbledon","Grass",128,"G","6/27/16",104607,"Tomas Berdych","R",196,"CZE",30.7761807,9,2950,103794,"Benjamin Becker","R",178,"GER",35.03080082,102,577,5,0.833333333,2.427748236,1.631718183,"Y",1763,"2:Y","2:Y","",0.972,1.08,7.49,1.08
"1764",18479,"Wimbledon","Grass",128,"G","6/27/16",105062,"Mikhail Kukushkin","R",183,"KAZ",28.50376454,57,867,105138,"Roberto Bautista Agut","R",186,"ESP",28.20260096,15,2150,5,0.5,-1.335001067,-0.908184144,"N",1764,"1:N","1:N","",0.824,1.12,6.07,1.12
"1765",18480,"Wimbledon","Grass",128,"G","6/27/16",105430,"Radu Albot","R",186,"MDA",26.6255989,110,544,106071,"Bernard Tomic","R",193,"AUS",23.68240931,19,1760,5,0.5,-1.756041387,-1.174119841,"N",1765,"1:N","1:N","",0.88,1.09,7.38,1.09
"1766",18481,"Wimbledon","Grass",128,"G","6/27/16",106298,"Lucas Pouille","R",186,"FRA",22.34086242,30,1311,105385,"Donald Young","L",183,"USA",26.92950034,69,757,5,0.5,0.832909123,0.54918223,"Y",1766,"2:Y","2:Y","",0.772,1.72,2.1,1.72
"1767",18482,"Wimbledon","Grass",128,"G","6/27/16",105223,"Juan Martin Del Potro","R",198,"ARG",27.75906913,165,320,104527,"Stanislas Wawrinka","R",183,"SUI",31.24982888,5,5035,5,0.6,-3.496507561,-2.755847809,"Y",1767,"2:Y","1:N","+",0.981,2.66,1.47,0
"1768",18483,"Wimbledon","Grass",128,"G","6/27/16",104755,"Richard Gasquet","R",185,"FRA",30.02600958,10,2905,104719,"Marcel Granollers","R",190,"ESP",30.20944559,43,972,5,1,1.458615023,1.094832865,"Y",1768,"2:Y","2:Y","",0.914,1.08,8.01,1.08
"1769",18484,"Wimbledon","Grass",128,"G","6/27/16",104678,"Viktor Troicki","R",193,"SRB",30.37645448,27,1405,105077,"Albert Ramos","L",188,"ESP",28.44353183,36,1165,5,0,0.287682072,0.187316216,"N",1769,"1:N","1:N","",0.578,4.1,1.23,4.1
"1770",18485,"Wimbledon","Grass",128,"G","6/27/16",105881,"Matthew Barton","R",186,"AUS",24.52566735,248,212,104545,"John Isner","R",206,"USA",31.17043121,17,2055,5,0.5,-2.680215402,-2.271444852,"N",1770,"1:N","1:N","",0.955,1.06,9.16,1.06
"1771",18486,"Wimbledon","Grass",128,"G","6/27/16",104542,"Jo Wilfried Tsonga","R",188,"FRA",31.19507187,12,2725,104338,"Juan Monaco","R",185,"ARG",32.24640657,97,620,5,1,2.089804329,1.480504229,"Y",1771,"2:Y","2:Y","",0.959,1.14,5.52,1.14
"1772",18487,"Wimbledon","Grass",128,"G","6/27/16",104460,"Dustin Brown","R",196,"GER",31.55099247,85,673,106401,"Nick Kyrgios","R",186,"AUS",21.16906229,18,1855,5,0.5,-1.552279499,-1.013894645,"N",1772,"1:N","1:N","",0.877,1.08,7.81,1.08
"1773",18488,"Wimbledon","Grass",128,"G","6/27/16",104926,"Fabio Fognini","R",178,"ITA",29.09514031,35,1170,103852,"Feliciano Lopez","L",188,"ESP",34.76796715,21,1630,5,0,-0.510825624,-0.331576266,"N",1773,"1:N","1:N","",0.715,1.25,3.86,1.25
"1774",18489,"Wimbledon","Grass",128,"G","6/27/16",105357,"John Millman","R",183,"AUS",27.03627652,67,770,105332,"Benoit Paire","R",196,"FRA",27.137577,23,1596,5,0.5,-1.069198403,-0.728865263,"Y",1774,"2:Y","1:N","+",0.774,2.14,1.69,0
"1775",18490,"Wimbledon","Grass",128,"G","6/27/16",104918,"Andy Murray","R",190,"GBR",29.11978097,2,8915,104229,"Yen Hsun Lu","R",180,"TPE",32.87063655,76,710,5,0.75,3.63758616,2.53022556,"Y",1775,"2:Y","2:Y","",0.993,1.01,17.73,1.01
"1776",18491,"Wimbledon","Grass",128,"G","6/27/16",104925,"Novak Djokovic","R",188,"SRB",29.10061602,1,16950,105023,"Sam Querrey","R",198,"USA",28.72279261,41,1075,5,0.888888889,3.713572067,2.757947172,"N",1776,"1:N","2:Y","+",0.994,20.78,1.01,0
"1777",18492,"Wimbledon","Grass",128,"G","6/27/16",103917,"Nicolas Mahut","R",190,"FRA",34.4312115,51,919,105732,"Pierre Hugues Herbert","R",186,"FRA",25.27857632,81,691,5,0.5,0.462623522,0.285146299,"Y",1777,"2:Y","2:Y","",0.528,1.33,3.28,1.33
"1778",18493,"Wimbledon","Grass",128,"G","6/27/16",104797,"Denis Istomin","R",188,"UZB",29.80424367,116,531,105676,"David Goffin","R",163,"BEL",25.55509925,11,2780,5,0.5,-2.355694918,-1.655444185,"N",1778,"1:N","1:N","",0.909,1.17,5.04,1.17
"1779",18494,"Wimbledon","Grass",128,"G","6/27/16",106058,"Jack Sock","R",185,"USA",23.75633128,26,1415,105683,"Milos Raonic","R",196,"CAN",25.50034223,7,3175,5,0.125,-1.312186389,-0.808178101,"N",1779,"1:N","1:N","",0.859,1.15,5.34,1.15
"1780",18495,"Wimbledon","Grass",128,"G","6/27/16",103819,"Roger Federer","R",185,"SUI",34.88569473,3,6425,105554,"Daniel Evans","R",175,"GBR",26.0971937,91,648,5,0.5,3.412247218,2.294061213,"Y",1780,"2:Y","2:Y","",0.976,1.03,14.82,1.03
"1781",18496,"Wimbledon","Grass",128,"G","6/27/16",105777,"Grigor Dimitrov","R",188,"BUL",25.11704312,37,1150,105449,"Steve Johnson","R",188,"USA",26.50787132,29,1385,5,0.5,-0.243622083,-0.185938197,"N",1781,"1:N","1:N","",0.553,2.15,1.69,2.15
"1782",18497,"Wimbledon","Grass",128,"G","6/27/16",105227,"Marin Cilic","R",198,"CRO",27.74537988,13,2695,105041,"Lukas Lacko","R",185,"SVK",28.64887064,123,501,5,1,2.247234998,1.682547382,"Y",1782,"2:Y","2:Y","",0.967,1.1,6.93,1.1
"1783",18498,"Wimbledon","Grass",128,"G","6/27/16",105453,"Kei Nishikori","R",178,"JPN",26.49418207,6,4155,105723,"Andrey Kuznetsov","R",185,"RUS",25.34428474,42,1013,5,0.5,1.945910149,1.411396203,"Y",1783,"2:Y","2:Y","",0.909,1.19,4.65,1.19
"1784",18499,"Wimbledon","Grass",128,"G","6/27/16",105311,"Joao Sousa","R",186,"POR",27.24435318,31,1275,106210,"Jiri Vesely","L",186,"CZE",22.9650924,64,780,5,0.5,0.724895879,0.491407538,"N",1784,"1:N","2:Y","+",0.71,1.41,2.85,0
"1785",18500,"Wimbledon","Grass",128,"G","6/27/16",104607,"Tomas Berdych","R",196,"CZE",30.7761807,9,2950,100644,"Alexander Zverev","R",186,"GER",19.18685832,28,1385,5,1,1.134979933,0.756105031,"Y",1785,"2:Y","2:Y","",0.853,1.42,2.86,1.42
"1786",18501,"Wimbledon","Grass",128,"G","6/27/16",105138,"Roberto Bautista Agut","R",186,"ESP",28.20260096,15,2150,106071,"Bernard Tomic","R",193,"AUS",23.68240931,19,1760,5,0.5,0.236388778,0.200154033,"N",1786,"1:N","2:Y","+",0.558,1.99,1.79,0
"1787",18502,"Wimbledon","Grass",128,"G","6/27/16",105223,"Juan Martin Del Potro","R",198,"ARG",27.75906913,165,320,106298,"Lucas Pouille","R",186,"FRA",22.34086242,30,1311,5,0.5,-1.704748092,-1.410224488,"N",1787,"1:N","1:N","",0.902,4.78,1.18,4.78
"1788",18503,"Wimbledon","Grass",128,"G","6/27/16",105077,"Albert Ramos","L",188,"ESP",28.44353183,36,1165,104755,"Richard Gasquet","R",185,"FRA",30.02600958,10,2905,5,0.25,-1.280933845,-0.913712303,"N",1788,"1:N","1:N","",0.862,1.12,6.32,1.12
"1789",18504,"Wimbledon","Grass",128,"G","6/27/16",104545,"John Isner","R",206,"USA",31.17043121,17,2055,104542,"Jo Wilfried Tsonga","R",188,"FRA",31.19507187,12,2725,5,0.75,-0.348306694,-0.28219258,"N",1789,"1:N","1:N","",0.596,1.72,2.12,1.72
"1790",18505,"Wimbledon","Grass",128,"G","6/27/16",106401,"Nick Kyrgios","R",186,"AUS",21.16906229,18,1855,103852,"Feliciano Lopez","L",188,"ESP",34.76796715,21,1630,5,0,0.15415068,0.129304681,"Y",1790,"2:Y","2:Y","",0.539,1.34,3.22,1.34
"1791",18506,"Wimbledon","Grass",128,"G","6/27/16",105357,"John Millman","R",183,"AUS",27.03627652,67,770,104918,"Andy Murray","R",190,"GBR",29.11978097,2,8915,5,0,-3.511545439,-2.449100015,"N",1791,"1:N","1:N","",0.99,1.01,18.12,1.01
"1792",18507,"Wimbledon","Grass",128,"G","6/27/16",103917,"Nicolas Mahut","R",190,"FRA",34.4312115,51,919,105023,"Sam Querrey","R",198,"USA",28.72279261,41,1075,5,1,-0.218253566,-0.156789818,"N",1792,"1:N","2:Y","+",0.503,2.25,1.64,0
"1793",18508,"Wimbledon","Grass",128,"G","6/27/16",105683,"Milos Raonic","R",196,"CAN",25.50034223,7,3175,105676,"David Goffin","R",163,"BEL",25.55509925,11,2780,5,0.5,0.451985124,0.132856705,"Y",1793,"2:Y","2:Y","",0.717,1.18,4.78,1.18
"1794",18509,"Wimbledon","Grass",128,"G","6/27/16",103819,"Roger Federer","R",185,"SUI",34.88569473,3,6425,105449,"Steve Johnson","R",188,"USA",26.50787132,29,1385,5,0.5,2.268683541,1.534496491,"Y",1794,"2:Y","2:Y","",0.9,1.14,5.62,1.14
"1795",18510,"Wimbledon","Grass",128,"G","6/27/16",105453,"Kei Nishikori","R",178,"JPN",26.49418207,6,4155,105227,"Marin Cilic","R",198,"CRO",27.74537988,13,2695,5,0.7,0.773189888,0.432914224,"N",1795,"1:N","2:Y","+",0.738,2.12,1.72,0
"1796",18511,"Wimbledon","Grass",128,"G","6/27/16",104607,"Tomas Berdych","R",196,"CZE",30.7761807,9,2950,106210,"Jiri Vesely","L",186,"CZE",22.9650924,64,780,5,1,1.961658506,1.33026653,"Y",1796,"2:Y","2:Y","",0.94,1.21,4.32,1.21
"1797",18512,"Wimbledon","Grass",128,"G","6/27/16",106298,"Lucas Pouille","R",186,"FRA",22.34086242,30,1311,106071,"Bernard Tomic","R",193,"AUS",23.68240931,19,1760,5,0.5,-0.456758402,-0.294523604,"Y",1797,"2:Y","1:N","+",0.603,3.26,1.34,0
"1798",18513,"Wimbledon","Grass",128,"G","6/27/16",104542,"Jo Wilfried Tsonga","R",188,"FRA",31.19507187,12,2725,104755,"Richard Gasquet","R",185,"FRA",30.02600958,10,2905,5,0.5,-0.182321557,-0.063964962,"Y",1798,"2:Y","1:N","+",0.55,2.04,1.77,0
"1799",18514,"Wimbledon","Grass",128,"G","6/27/16",104918,"Andy Murray","R",190,"GBR",29.11978097,2,8915,106401,"Nick Kyrgios","R",186,"AUS",21.16906229,18,1855,5,1,2.197224577,1.569850555,"Y",1799,"2:Y","2:Y","",0.959,1.16,5.27,1.16
"1800",18515,"Wimbledon","Grass",128,"G","6/27/16",105683,"Milos Raonic","R",196,"CAN",25.50034223,7,3175,105023,"Sam Querrey","R",198,"USA",28.72279261,41,1075,5,0.25,1.767661918,1.082986971,"Y",1800,"2:Y","2:Y","",0.852,1.29,3.63,1.29
"1801",18516,"Wimbledon","Grass",128,"G","6/27/16",105227,"Marin Cilic","R",198,"CRO",27.74537988,13,2695,103819,"Roger Federer","R",185,"SUI",34.88569473,3,6425,5,0.166666667,-1.466337069,-0.868798426,"N",1801,"1:N","1:N","",0.837,1.28,3.69,1.28
"1802",18517,"Wimbledon","Grass",128,"G","6/27/16",106298,"Lucas Pouille","R",186,"FRA",22.34086242,30,1311,104607,"Tomas Berdych","R",196,"CZE",30.7761807,9,2950,5,0.5,-1.203972804,-0.811014966,"N",1802,"1:N","1:N","",0.752,1.24,4.07,1.24
"1803",18518,"Wimbledon","Grass",128,"G","6/27/16",104542,"Jo Wilfried Tsonga","R",188,"FRA",31.19507187,12,2725,104918,"Andy Murray","R",190,"GBR",29.11978097,2,8915,5,0.142857143,-1.791759469,-1.185266823,"N",1803,"1:N","1:N","",0.928,1.1,6.94,1.1
"1804",18519,"Wimbledon","Grass",128,"G","6/27/16",105683,"Milos Raonic","R",196,"CAN",25.50034223,7,3175,103819,"Roger Federer","R",185,"SUI",34.88569473,3,6425,5,0.181818182,-0.84729786,-0.704888998,"Y",1804,"2:Y","1:N","+",0.735,2.5,1.54,0
"1805",18520,"Wimbledon","Grass",128,"G","6/27/16",104607,"Tomas Berdych","R",196,"CZE",30.7761807,9,2950,104918,"Andy Murray","R",190,"GBR",29.11978097,2,8915,5,0.428571429,-1.504077397,-1.105930081,"N",1805,"1:N","1:N","",0.88,1.12,6.55,1.12
"1806",18521,"Wimbledon","Grass",128,"G","6/27/16",105683,"Milos Raonic","R",196,"CAN",25.50034223,7,3175,104918,"Andy Murray","R",190,"GBR",29.11978097,2,8915,5,0.363636364,-1.252762968,-1.032427619,"N",1806,"1:N","1:N","",0.838,3.97,1.26,3.97
"1917",16236,"US Open","Hard",128,"G","8/29/16",104925,"Novak Djokovic","R",188,"SRB",29.27310062,1,14840,105668,"Jerzy Janowicz","R",203,"POL",25.79329227,247,216,5,0.5,5.509388337,4.229803109,"Y",1917,"2:Y","2:Y","",0.999,1.01,20.3,1.01
"1918",16237,"US Open","Hard",128,"G","8/29/16",106210,"Jiri Vesely","L",186,"CZE",23.137577,49,928,105031,"Saketh Myneni","R",186,"IND",28.862423,143,410,5,0.5,1.071024332,0.816874573,"Y",1918,"2:Y","2:Y","",0.791,1.36,3.12,1.36
"1919",16238,"US Open","Hard",128,"G","8/29/16",106216,"Bjorn Fratangelo","R",186,"USA",23.11293635,115,540,105550,"Guido Pella","L",186,"ARG",26.28610541,51,898,5,0.5,-0.813106496,-0.508600929,"N",1919,"1:N","1:N","",0.679,2.32,1.6,2.32
"1920",16239,"US Open","Hard",128,"G","8/29/16",104022,"Mikhail Youzhny","R",183,"RUS",34.17932923,61,801,105373,"Martin Klizan","L",190,"SVK",27.13483915,29,1405,5,0,-0.743578034,-0.561931635,"Y",1920,"2:Y","1:N","+",0.869,1.97,1.83,0
"1921",16240,"US Open","Hard",128,"G","8/29/16",104545,"John Isner","R",206,"USA",31.34291581,21,1645,126207,"Francis Tiafoe","R",186,"USA",18.60643395,125,484,5,0.5,1.7837913,1.223410756,"Y",1921,"2:Y","2:Y","",0.84,1.08,8.03,1.08
"1922",16241,"US Open","Hard",128,"G","8/29/16",104327,"Steve Darcis","R",178,"BEL",32.46269678,106,562,111442,"Jordan Thompson","R",186,"AUS",22.36002738,91,633,5,0.5,-0.152579588,-0.118968572,"Y",1922,"2:Y","1:N","+",0.646,1.53,2.47,0
"1923",16242,"US Open","Hard",128,"G","8/29/16",124014,"Ernesto Escobedo","R",186,"USA",20.15331964,201,277,105041,"Lukas Lacko","R",185,"SVK",28.82135524,99,606,5,0.5,-0.708185058,-0.78286248,"Y",1923,"2:Y","1:N","+",0.702,1.72,2.1,0
"1924",16243,"US Open","Hard",128,"G","8/29/16",104755,"Richard Gasquet","R",185,"FRA",30.19849418,15,2230,106378,"Kyle Edmund","R",186,"GBR",21.63997262,84,679,5,0.5,1.722766598,1.189135737,"N",1924,"1:N","2:Y","+",0.861,4.34,1.21,0
"1925",16244,"US Open","Hard",128,"G","8/29/16",105819,"Guido Andreozzi","R",186,"ARG",25.06776181,133,437,104542,"Jo Wilfried Tsonga","R",188,"FRA",31.36755647,11,2875,5,0.5,-2.492453855,-1.883874758,"N",1925,"1:N","1:N","",0.942,1.04,11.47,1.04
"1926",16245,"US Open","Hard",128,"G","8/29/16",104898,"Robin Haase","R",190,"NED",29.39904175,62,798,105902,"James Duckworth","R",183,"AUS",24.60506502,195,289,5,0.5,1.145865174,1.015681909,"N",1926,"1:N","2:Y","+",0.805,1.84,1.94,0
"1927",16246,"US Open","Hard",128,"G","8/29/16",105577,"Vasek Pospisil","R",193,"CAN",26.18480493,123,495,106075,"Jozef Kovalik","R",186,"SVK",23.816564,126,476,5,0.5,0.024097552,0.039139908,"Y",1927,"2:Y","2:Y","",0.504,1.59,2.3,1.59
"1928",16247,"US Open","Hard",128,"G","8/29/16",104731,"Kevin Anderson","R",203,"RSA",30.28336756,35,1275,106415,"Yoshihito Nishioka","L",186,"JPN",20.92265572,85,678,5,0.5,0.887303195,0.63155417,"Y",1928,"2:Y","2:Y","",0.681,1.32,3.34,1.32
"1929",16248,"US Open","Hard",128,"G","8/29/16",126203,"Taylor Harry Fritz","R",186,"USA",18.83641342,53,829,106058,"Jack Sock","R",185,"USA",23.92881588,27,1450,5,0,-0.674455048,-0.55909868,"N",1929,"1:N","1:N","",0.795,1.3,3.47,1.3
"1930",16249,"US Open","Hard",128,"G","8/29/16",104999,"Mischa Zverev","L",190,"GER",29.02121834,127,468,105732,"Pierre Hugues Herbert","R",186,"FRA",25.45106092,114,540,5,0.5,-0.107988638,-0.143100844,"Y",1930,"2:Y","1:N","+",0.607,1.83,1.95,0
"1931",16250,"US Open","Hard",128,"G","8/29/16",104660,"Sergiy Stakhovsky","R",193,"UKR",30.64476386,92,631,105671,"Gastao Elias","R",178,"POR",25.76317591,60,806,5,1,-0.427444015,-0.24477788,"Y",1931,"2:Y","2:Y","",0.514,1.63,2.26,1.63
"1932",16251,"US Open","Hard",128,"G","8/29/16",105227,"Marin Cilic","R",198,"CRO",27.91786448,9,3515,104297,"Rogerio Dutra Silva","R",178,"BRA",32.56947296,108,557,5,0.5,2.48490665,1.842229564,"Y",1932,"2:Y","2:Y","",0.963,1.01,18.13,1.01
"1933",16252,"US Open","Hard",128,"G","8/29/16",104745,"Rafael Nadal","L",185,"ESP",30.23956194,5,4850,104797,"Denis Istomin","R",188,"UZB",29.97672827,107,560,5,1,3.063390922,2.1587972,"Y",1933,"2:Y","2:Y","",0.983,1.06,9.01,1.06
"1934",16253,"US Open","Hard",128,"G","8/29/16",103565,"Stephane Robert","R",185,"FRA",36.28473648,52,856,104312,"Andreas Seppi","R",190,"ITA",32.52019165,87,675,5,0,0.5146644,0.237557685,"N",1934,"1:N","1:N","",0.622,1.5,2.56,1.5
"1935",16254,"US Open","Hard",128,"G","8/29/16",105723,"Andrey Kuznetsov","R",185,"RUS",25.51676934,47,988,105064,"Thomaz Bellucci","L",188,"BRA",28.66529774,65,760,5,1,0.324239668,0.262364264,"Y",1935,"2:Y","2:Y","",0.757,1.6,2.31,1.6
"1936",16255,"US Open","Hard",128,"G","8/29/16",103898,"Julien Benneteau","R",185,"FRA",34.69130732,248,214,105077,"Albert Ramos","L",188,"ESP",28.61601643,33,1330,5,0,-2.016921185,-1.826958206,"N",1936,"1:N","1:N","",0.974,1.61,2.29,1.61
"1937",16256,"US Open","Hard",128,"G","8/29/16",106298,"Lucas Pouille","R",186,"FRA",22.51334702,25,1481,105062,"Mikhail Kukushkin","R",183,"KAZ",28.67624914,67,759,5,0.5,0.985816795,0.668471037,"Y",1937,"2:Y","2:Y","",0.792,1.19,4.7,1.19
"1938",16257,"US Open","Hard",128,"G","8/29/16",103843,"Marco Chiudinelli","R",185,"SUI",34.96783025,144,408,106105,"Guilherme Clezar","R",186,"BRA",23.6605065,203,276,5,0.5,0.343392679,0.390866309,"Y",1938,"2:Y","2:Y","",0.503,1.89,1.89,1.89
"1939",16258,"US Open","Hard",128,"G","8/29/16",104548,"Brian Baker","R",190,"USA",31.33196441,312,157,105643,"Federico Delbonis","L",190,"ARG",25.90006845,43,1015,5,0.5,-1.981803072,-1.866398086,"N",1939,"1:N","1:N","",0.946,1.63,2.26,1.63
"1940",16259,"US Open","Hard",128,"G","8/29/16",104198,"Guillermo Garcia Lopez","R",188,"ESP",33.23750856,50,900,105138,"Roberto Bautista Agut","R",186,"ESP",28.37508556,17,2040,5,0,-1.078809661,-0.818310324,"N",1940,"1:N","1:N","",0.901,1.29,3.56,1.29
"1941",16260,"US Open","Hard",128,"G","8/29/16",104792,"Gael Monfils","R",193,"FRA",29.99315537,12,2835,104180,"Gilles Muller","L",193,"LUX",33.30869268,37,1175,5,0.5,1.126011263,0.88077379,"Y",1941,"2:Y","2:Y","",0.823,1.22,4.26,1.22
"1942",16261,"US Open","Hard",128,"G","8/29/16",105596,"Jan Satral","R",186,"CZE",26.09993155,226,237,111456,"Mackenzie Mcdonald","R",186,"USA",21.37166324,406,107,5,0.5,0.58581816,0.795231307,"Y",1942,"2:Y","2:Y","",0.73,1.47,2.68,1.47
"1943",16262,"US Open","Hard",128,"G","8/29/16",105916,"Marton Fucsovics","R",186,"HUN",24.55578371,155,366,104597,"Nicolas Almagro","R",183,"ESP",31.02258727,48,987,5,0.5,-1.172224106,-0.992036706,"N",1943,"1:N","1:N","",0.778,1.52,2.52,1.52
"1944",16263,"US Open","Hard",128,"G","8/29/16",104534,"Dudi Sela","R",175,"ISR",31.40314853,80,691,104655,"Pablo Cuevas","R",180,"URU",30.65845311,20,1745,5,0,-1.386294361,-0.926370011,"N",1944,"1:N","1:N","",0.912,1.23,4.14,1.23
"1945",16264,"US Open","Hard",128,"G","8/29/16",105332,"Benoit Paire","R",196,"FRA",27.3100616,34,1305,105583,"Dusan Lajovic","R",180,"SRB",26.16563997,59,806,5,0,0.551176919,0.481874577,"Y",1945,"2:Y","2:Y","",0.531,1.48,2.62,1.48
"1946",16265,"US Open","Hard",128,"G","8/29/16",105487,"Facundo Bagnis","L",186,"ARG",26.50239562,90,660,104571,"Marcos Baghdatis","R",183,"CYP",31.20054757,44,1015,5,0.5,-0.715620036,-0.430404056,"N",1946,"1:N","1:N","",0.67,1.06,8.95,1.06
"1947",16266,"US Open","Hard",128,"G","8/29/16",105992,"Ryan Harrison","R",183,"USA",24.31211499,120,509,105173,"Adrian Mannarino","L",183,"FRA",28.1670089,54,826,5,0,-0.798507696,-0.484146757,"Y",1947,"2:Y","1:N","+",0.785,1.95,1.84,0
"1948",16267,"US Open","Hard",128,"G","8/29/16",105683,"Milos Raonic","R",196,"CAN",25.67282683,6,4805,104460,"Dustin Brown","R",196,"GER",31.72347707,86,678,5,0.5,2.662587827,1.958265033,"Y",1948,"2:Y","2:Y","",0.967,1.03,12.33,1.03
"1949",16268,"US Open","Hard",128,"G","8/29/16",106233,"Dominic Thiem","R",186,"AUT",22.98699521,10,3205,105357,"John Millman","R",183,"AUS",27.20876112,66,760,5,1,1.887069649,1.439148936,"Y",1949,"2:Y","2:Y","",0.956,1.2,4.37,1.2
"1950",16269,"US Open","Hard",128,"G","8/29/16",104291,"Malek Jaziri","R",185,"TUN",32.60780287,68,749,105575,"Ricardas Berankis","R",175,"LTU",26.19028063,89,665,5,0.666666667,0.269128665,0.118951943,"N",1950,"1:N","2:Y","+",0.572,2.93,1.39,0
