"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","P1_id","P1_name","P1_hand","P1_ht","P1_ioc","P1_age","P1_rank","P1_rank_points","P2_id","P2_name","P2_hand","P2_ht","P2_ioc","P2_age","P2_rank","P2_rank_points","best_of","p1wins"
"31","2000-580","Australian Open","Hard","128","G",2000-01-17,"102809","Axel Pretzsch","R",185,"GER",23.58658453,115,345,"101711","Alex Obrien","R",185,"USA",29.86447639,162,231,"5","Y"
"32","2000-580","Australian Open","Hard","128","G",2000-01-17,"101735","Richard Fromberg","R",196,"AUS",29.72210815,80,479,"102358","Thomas Enqvist","R",190,"SWE",25.84804928,6,2107,"5","Y"
"33","2000-580","Australian Open","Hard","128","G",2000-01-17,"102287","Albert Portas","R",188,"ESP",26.17111567,91,434,"102856","Gustavo Kuerten","R",190,"BRA",23.35112936,5,2116,"5","Y"
"34","2000-580","Australian Open","Hard","128","G",2000-01-17,"102437","Adrian Voinea","R",185,"ROU",25.44832307,95,420,"102434","Vincent Spadea","R",183,"USA",25.49760438,21,1245,"5","Y"
"35","2000-580","Australian Open","Hard","128","G",2000-01-17,"102834","Paul Goldstein","R",178,"USA",23.45242984,87,447,"103720","Lleyton Hewitt","R",180,"AUS",18.89390828,17,1335,"5","N"
"36","2000-580","Australian Open","Hard","128","G",2000-01-17,"102374","Alex Corretja","R",180,"ESP",25.76865161,30,987,"102227","Sargis Sargsian","R",180,"ARM",26.62286105,51,715,"5","Y"
"37","2000-580","Australian Open","Hard","128","G",2000-01-17,"101727","Jason Stoltenberg","R",185,"AUS",29.78781656,81,469,"102035","Jonas Bjorkman","R",183,"SWE",27.81930185,76,518,"5","N"
"38","2000-580","Australian Open","Hard","128","G",2000-01-17,"103181","Jiri Vanek","R",185,"CZE",21.73305955,153,245,"103193","Peter Wessels","R",196,"NED",21.69746749,114,349,"5","Y"
"39","2000-580","Australian Open","Hard","128","G",2000-01-17,"101150","Gianluca Pozzi","L",180,"ITA",34.58453114,82,465,"102720","Tomas Zib","R",178,"CZE",23.96167009,118,334,"5","Y"
"40","2000-580","Australian Open","Hard","128","G",2000-01-17,"102821","Cecil Mamiit","R",173,"PHI",23.55646817,97,414,"102796","Magnus Norman","R",188,"SWE",23.63312799,11,1655,"5","N"
"41","2000-580","Australian Open","Hard","128","G",2000-01-17,"101611","Cedric Pioline","R",188,"FRA",30.59000684,15,1439,"101964","Goran Ivanisevic","L",193,"CRO",28.3449692,70,575,"5","N"
"42","2000-580","Australian Open","Hard","128","G",2000-01-17,"103103","Dominik Hrbaty","R",183,"SVK",22.03422313,22,1193,"101532","Francisco Clavet","L",183,"ESP",31.23066393,39,840,"5","N"
"43","2000-580","Australian Open","Hard","128","G",2000-01-17,"101965","Wayne Ferreira","R",185,"RSA",28.3394935,53,705,"102567","George Bastl","R",183,"SUI",24.79671458,78,511,"5","Y"
"44","2000-580","Australian Open","Hard","128","G",2000-01-17,"102563","Thomas Johansson","R",180,"SWE",24.81861739,42,799,"101900","Nicklas Kulti","R",190,"SWE",28.73921971,121,316,"5","Y"
"45","2000-580","Australian Open","Hard","128","G",2000-01-17,"103292","Gaston Gaudio","R",175,"ARG",21.10609172,61,627,"103566","Michael Llodra","L",190,"FRA",19.6659822,263,122,"5","N"
"46","2000-580","Australian Open","Hard","128","G",2000-01-17,"102455","Lorenzo Manta","R",190,"SUI",25.33607118,107,361,"102223","Karim Alami","R",185,"MAR",26.65023956,35,870,"5","N"
